"countryn","shortnam","logpgp95","logem4","urbz1995","lpd1500s","bonly","eonly","cu1500","sjb1500","sjb1000","asia","africa","americas"
"Costa Rica","CRI",8.79482460021973,4.35799026489258,49.2999992370605,0.431782394647598,7,18,NA,9.19999980926514,9.5,0,0,1
"Cuba","CUB",NA,NA,75.8000030517578,-0.798507750034332,NA,0,NA,NA,0,0,0,1
"Djibouti","DJI",NA,3.25809645652771,82.0999984741211,NA,NA,NA,NA,NA,NA,0,1,0
"Dominica","DMA",8.33086395263672,NA,69.3000030517578,0.378436475992203,NA,NA,NA,NA,NA,0,0,1
"Dominican Re","DOM",8.36404228210449,4.86753463745117,61.9000015258789,0.378436475992203,3,0,NA,3,NA,0,0,1
"Algeria","DZA",8.38935947418213,4.35926961898804,55.7000007629395,1.9455794095993,NA,11,11,13.9700002670288,2.20000004768372,0,1,0
"Ecuador","ECU",8.47010135650635,4.26268005371094,58.9000015258789,0.773489952087402,12,6,5,10.6199998855591,10.1000003814697,0,0,1
"Egypt","EGY",7.95155954360962,4.21656227111816,44.5999984741211,4.60973072052002,NA,11.8749990463257,12.3999996185303,14.5699996948242,7.5,0,1,0
"Eritria","ERI",6.62007331848145,NA,17.1000003814697,0.6931471824646,NA,NA,NA,NA,NA,0,1,0
"Ethiopia","ETH",6.10924768447876,3.25809645652771,15.3999996185303,1.89711999893188,NA,NA,2.70000004768372,NA,NA,0,1,0
"Fiji","FJI",8.30152130126953,2.43361330032349,40.5999984741211,NA,NA,NA,NA,NA,NA,0,0,0
"Gabon","GAB",8.90788269042969,5.63478946685791,50.0999984741211,0.405465096235275,NA,NA,NA,NA,NA,0,1,0
