d_pres_fav,r_pres_fav,vt_pres_2,vt_pres_4,vt_sen,vt_gov,likely,scale,partyid,sample,phoneuse,gender,educ,hisp,cuban,race,age,racer,turnout_score,turnout_class,region,rvweight,likelyyn,lvweight,file_race,file_party,file_county,file_age,state,poll,poll_id,file_vt16,file_vt14,file_vt12
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Republican,Cell,Cell Phone only,Female,Graduate or Professional degree,No,,Caucasian/White,23,Caucasian/White,0.532551,Middle,Southeast,0.971523821353912,,0.74445490196988,White,Republican,Cumberland,23,Pennsylvania,October,Pennsylvania October,1,0,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Cell,Cell Phone only,Female,High school,No,,Caucasian/White,18,Caucasian/White,0.699785,Middle,Philadelphia,0.569657385349274,,0.484147539377958,White,Democratic,Philadelphia,18,Pennsylvania,October,Pennsylvania October,1,0,0
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Cell,Cell Phone only,Female,Bachelors' degree,No,,Caucasian/White,31,Caucasian/White,0.914063,High,Southeast,1.1453709602356,,1.09615608813071,White,Democratic,Berks,31,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,No,,Caucasian/White,65,Caucasian/White,0.986751,High,Philadelphia Suburbs,1.33842873573303,,1.32956231457317,Unknown,Democratic,Chester,65,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Cell,Landline and Cell Phone,Female,Some college or trade school,No,,Caucasian/White,18,Caucasian/White,0.699785,Middle,Southeast,0.986026525497437,,0.83801654882133,White,Democratic,Dauphin,18,Pennsylvania,October,Pennsylvania October,1,0,0
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,Bachelors' degree,No,,Caucasian/White,55,Caucasian/White,0.988018,High,Philadelphia Suburbs,1.22593700885773,,1.21859242023766,Unknown,Democratic,Delaware,55,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Unfavorable,"Donald Trump, the Republican","Gary Johnson, the Libertarian","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Independent (No party),Cell,Cell Phone only,Female,Bachelors' degree,No,,Caucasian/White,29,Caucasian/White,0.374273,Low,Southeast,0.858578383922577,,0.589960545704216,White,Republican,Lancaster,29,Pennsylvania,October,Pennsylvania October,1,0,0
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline only,Female,High school,No,,Caucasian/White,84,Caucasian/White,0.687998,Middle,Northeast,1.03907096385956,,0.876974854426503,White,Democratic,Lackawanna,84,Pennsylvania,October,Pennsylvania October,1,0,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Cell,Cell Phone only,Female,Some college or trade school,No,,Caucasian/White,63,Caucasian/White,0.534154,Middle,Philadelphia Suburbs,1.18691909313202,,0.91045833720243,White,Democratic,Bucks,63,Pennsylvania,October,Pennsylvania October,1,0,0
Unfavorable,Unfavorable,[DO NOT READ] Won't vote,[DO NOT READ] Won't vote,"Pat Toomey, the Republican",,Not very likely,Five,Republican,Landline,Landline only,Female,Some college or trade school,No,,Caucasian/White,0,Caucasian/White,0.988509,High,Northeast,1.0199738740921,,0.504126677152455,White,Republican,Lackawanna,73,Pennsylvania,October,Pennsylvania October,1,1,1
